Date	Open	Close
2009-11-12	126.610001	126.260002
2009-11-13	126.410004	127.029999
2009-11-16	127.169998	128.210007
2009-11-17	127.43	128.630005
2009-11-18	128.050003	128.149994
2009-11-19	127.279999	127.540001
2009-11-20	127.169998	126.959999
2009-11-23	127.699997	128.199997
2009-11-24	127.900002	127.93
2009-11-25	127.879997	127.279999
2009-11-27	124.589996	125.699997
2009-11-30	125.120003	126.349998
2009-12-01	127.290001	127.940002
2009-12-02	127.32	127.209999
2009-12-03	127.599998	127.550003
2009-12-04	128.399994	127.25
2009-12-07	126.879997	127.040001
2009-12-08	126.970001	126.800003
2009-12-09	126.699997	128.389999
2009-12-10	128.130005	129.339996
2009-12-11	129.009995	129.679993
2009-12-14	129.649994	129.929993
2009-12-15	129.460007	128.490005
2009-12-16	128.740005	128.710007
2009-12-17	128	127.400002
2009-12-18	127.970001	127.910004
2009-12-21	127.800003	128.649994
2009-12-22	129.300003	129.929993
2009-12-23	129.699997	130
2009-12-24	129.889999	130.570007
2009-12-28	130.990005	132.309998
2009-12-29	132.279999	131.850006
2009-12-30	131.229996	132.570007
2009-12-31	132.410004	130.899994
2010-01-04	131.179993	132.449997
2010-01-05	131.679993	130.850006
2010-01-06	130.679993	130
2010-01-07	129.869995	129.550003
2010-01-08	129.070007	130.850006
2010-01-11	131.059998	129.479996
2010-01-12	129.029999	130.509995
2010-01-13	130.389999	130.229996
2010-01-14	130.550003	132.309998
2010-01-15	132.029999	131.779999
2010-01-19	131.630005	134.139999
2010-01-20	130.460007	130.25
2010-01-21	130.470001	129
2010-01-22	128.669998	125.5
2010-01-25	126.330002	126.120003
2010-01-26	125.919998	125.75
2010-01-27	125.82	126.330002
2010-01-28	127.029999	123.75
2010-01-29	124.32	122.389999
2010-02-01	123.230003	124.669998
2010-02-02	124.790001	125.529999
2010-02-03	125.160004	125.660004
2010-02-04	125.190002	123
2010-02-05	123.040001	123.519997
2010-02-08	123.150002	121.879997
2010-02-09	122.650002	123.209999
2010-02-10	122.940002	122.809998
2010-02-11	122.580002	123.730003
2010-02-12	123.010002	124
2010-02-16	124.910004	125.230003
2010-02-17	125.5	126.330002
2010-02-18	126.129997	127.809998
2010-02-19	127.349998	127.190002
2010-02-22	127.300003	126.849998
2010-02-23	126.480003	126.459999
2010-02-24	127.019997	127.589996
2010-02-25	126.050003	127.07
2010-02-26	127.010002	127.160004
2010-03-01	127.5	128.570007
2010-03-02	128.699997	127.419998
2010-03-03	127.730003	126.879997
2010-03-04	127.07	126.720001
2010-03-05	127.169998	127.25
2010-03-08	127.059998	126.410004
2010-03-09	126.269997	125.550003
2010-03-10	125.989998	125.620003
2010-03-11	125.709999	127.599998
2010-03-12	127.910004	127.940002
2010-03-15	127.400002	127.830002
2010-03-16	128	128.669998
2010-03-17	128.899994	127.760002
2010-03-18	127.459999	128.380005
2010-03-19	127.709999	127.709999
2010-03-22	127.110001	127.980003
2010-03-23	127.940002	129.369995
2010-03-24	128.630005	128.529999
2010-03-25	129.360001	129.240005
2010-03-26	128.929993	129.259995
2010-03-29	129.300003	128.589996
2010-03-30	128.899994	128.770004
2010-03-31	128.229996	128.25
2010-04-01	128.949997	128.25
2010-04-05	128.380005	129.350006
2010-04-06	128.679993	128.929993
2010-04-07	128.529999	128.479996
2010-04-08	128.039993	127.610001
2010-04-09	127.879997	128.759995
2010-04-12	128.570007	128.360001
2010-04-13	128.259995	129.029999
2010-04-14	129.729996	131.25
2010-04-15	130.529999	130.889999
2010-04-16	130.679993	130.630005
2010-04-19	130.380005	132.229996
2010-04-20	129.199997	129.690002
2010-04-21	129.869995	128.990005
2010-04-22	128.639999	129.130005
2010-04-23	129.080002	129.990005
2010-04-26	129.759995	130.729996
2010-04-27	129.899994	128.820007
2010-04-28	129.399994	130.100006
2010-04-29	130.550003	130.460007
2010-04-30	130.429993	129
2010-05-03	129.389999	129.600006
2010-05-04	128.889999	128.119995
2010-05-05	127.120003	127.459999
2010-05-06	126.290001	123.919998
2010-05-07	123.360001	122.099998
2010-05-10	126.269997	126.269997
2010-05-11	125.209999	126.889999
2010-05-12	127.160004	132.679993
2010-05-13	130.929993	131.479996
2010-05-14	131.059998	131.190002
2010-05-17	130.679993	130.440002
2010-05-18	131.259995	129.949997
2010-05-19	129.369995	128.860001
2010-05-20	127.220001	123.800003
2010-05-21	122.160004	125.419998
2010-05-24	125.260002	124.449997
2010-05-25	121.470001	124.519997
2010-05-26	124.889999	123.230003
2010-05-27	125.050003	126.389999
2010-05-28	125.959999	125.260002
2010-06-01	124.690002	124.339996
2010-06-02	124.849998	127.410004
2010-06-03	127.75	127.959999
2010-06-04	126.370003	125.279999
2010-06-07	125.57	124.129997
2010-06-08	124.260002	123.720001
2010-06-09	124.830002	123.900002
2010-06-10	125.989998	127.68
2010-06-11	126.730003	128.449997
2010-06-14	128.5	128.5
2010-06-15	128.929993	129.789993
2010-06-16	128.339996	130.350006
2010-06-17	130.070007	130.979996
2010-06-18	131.020004	130.149994
2010-06-21	131.419998	130.649994
2010-06-22	130.369995	129.300003
2010-06-23	129.25	130.110001
2010-06-24	129.570007	128.190002
2010-06-25	128.339996	127.120003
2010-06-28	127.650002	128.979996
